Country Name,Country Code,GDP_2011,GDP_2012,GDP_2013,GDP_2014,GDP_2015,GDP_2016,GDP_2017,GDP_2018,GDP_2019,GDP_2020,GDP_2021
East Asia & Pacific (excluding high income),EAP,4853.3853516549,5364.23069934233,5867.35466578774,6276.04217924336,6482.99315626888,6575.5250881796,7133.00005851308,7925.42476458248,8153.62140587102,8245.71521577714,9795.31938942758
Early-demographic dividend,EAR,3259.60808878841,3356.98183201305,3357.74475640532,3424.5502589261,3211.78012733143,3262.32001806648,3496.77164846492,3503.21320137921,3527.54327176522,3240.95150218079,3732.86849069467
East Asia & Pacific,EAS,8875.65549142235,9416.21589854877,9446.40916515236,9672.05856791833,9562.10616350756,9832.13036290931,10428.6321782284,11285.8972298534,11458.795842252,11464.1012855988,13117.3989864275
Europe & Central Asia (excluding high income),ECA,6762.3794711987,7072.25824676591,7646.12341259007,7272.88444788426,6282.67304098967,5977.23488835294,6111.81706371512,5952.35226461881,6020.75079545102,5733.53881172869,6623.50479025077
Europe & Central Asia,ECS,26241.0435104875,25165.1269344708,26175.7703214097,26425.7524782923,22657.3094941092,22476.2668798332,23755.738099932,25340.1536558293,24958.3859753607,24091.3416895738,27591.2437497041
Ecuador,ECU,5153.6916424375,5634.08393191094,6109.29031510341,6405.79979300441,5976.1596805651,5917.63771271481,6233.32244797718,6303.91892523596,6205.05759479761,5463.64509649315,6075.8026572556
"Egypt, Arab Rep.",EGY,2590.64384891965,2996.0677072015,3025.52563552448,3133.39102265541,3306.98159414141,3270.6287768197,2395.10333299491,2484.70315630508,2962.98892023003,3511.11381026379,3827.35415374308
Euro area,EMU,40651.6933402412,37558.5184564355,39109.1766026701,39926.3443427769,34415.6153549122,35178.8502697866,37181.1343044604,40068.5215464339,39217.3839966029,38241.5756519082,42978.8817916638
Eritrea,ERI,688.68165957684,,,,,,,,,,
Spain,ESP,31824.6219134777,28456.4438151477,29218.9105170888,29694.8874886229,25969.8383138327,26740.6851818829,28367.9392609439,30592.1264795541,29776.2011500384,27230.3599933583,30817.6828559001
Estonia,EST,17555.5455239426,17568.2137969714,19310.3874900757,20581.7898991695,17722.1557669523,18666.3736521706,20851.5223496861,23618.1361254581,24021.2501413306,23933.9939421065,27953.7670230126
Ethiopia,ETH,343.024942351887,452.101031885754,484.039833104062,549.986577082588,621.845673808133,696.195884706786,745.632449222154,747.968143637014,828.70897229725,905.313175805855,910.947840320752
European Union,EUU,36020.4863545784,33378.8274150555,34803.3461372357,35539.2020994967,30716.6295698647,31404.4306041117,33327.6674894487,36002.564051993,35341.5703329216,34635.4895902222,39180.3758426065
Fragile and conflict affected situations,FCS,2047.73072001973,2235.7997856716,2267.60404077018,2351.21273489301,1810.68930176888,1632.33745272851,1702.90845193168,1819.00302147749,1890.22006963616,1680.96884674984,1753.54775352624
Finland,FIN,51060.3242589767,47551.6740841369,49691.0145200739,50073.7760815871,42560.3456767103,43451.2562442158,46085.0174739036,49654.2497035329,48358.1807773701,48828.6846862799,53099.1351400148
Fiji,FJI,4139.60288609702,4341.40338748749,4572.44377544245,5293.35679137747,5097.53108832569,5363.79025590254,5826.84814087383,6085.41979209299,5950.82868635508,4844.42129036462,4696.17101880318
France,FRA,43929.7840873812,40863.5814412333,42669.1795111893,43148.0459288416,36702.4323733379,37024.2157133669,38687.1626407164,41418.1766484844,40408.2848574751,39169.8606000707,43725.0999521245
Faroe Islands,FRO,51618.9907766392,50261.9616267693,55758.2083680611,60172.0632541664,52635.0375463609,56875.2803813296,59384.9862077969,62524.0387361638,63064.6343127366,62236.0866558197,68736.505610554
"Micronesia, Fed. Sts.",FSM,2890.50493045368,3033.16989526369,2933.88333441237,2945.41495996162,2911.16211045292,2979.60119184048,3279.10779039285,3566.58690371125,3572.65918282222,3353.8894298388,3493.87228552999
Gabon,GAB,10219.1139339454,9296.96587941088,9197.70106323947,9201.36276648105,7047.12654634355,6677.07003901644,6921.73373135624,7624.2775233771,7441.1786472281,6605.80346077565,8181.40914134656
United Kingdom,GBR,42109.6418795749,42497.3404974322,43426.2981405143,47439.6165895125,44964.3911437292,40985.2351382417,40572.1214823783,43203.8141057739,42662.5353740311,40201.6812422928,46896.8662432834
