Code,Year,HealthSystem_Score
PRY,2015,80
PER,2015,80
PHL,2015,80
PRT,2015,60
MDA,2015,20
ROU,2015,40
RUS,2015,80
RWA,2015,60
KNA,2015,20
LCA,2015,40
VCT,2015,80
WSM,2015,80
STP,2015,0
BTN,2010,16
PRK,2010,66
IND,2010,83
IDN,2010,83
SYC,2015,100
SGP,2015,100
SVK,2015,100
SVN,2015,20
MDV,2010,33
MMR,2010,33
NPL,2010,33
LKA,2010,66
SLB,2015,40
ZAF,2015,100
SSD,2015,100
ESP,2015,60
LKA,2015,60
THA,2010,66
TLS,2010,50
AUS,2010,100
BRN,2010,16
SUR,2015,40
SWE,2015,100
CHE,2015,20
TJK,2015,100
KHM,2010,16
CHN,2010,83
FJI,2010,16
JPN,2010,100
KIR,2010,33
TLS,2015,40
TGO,2015,80
TTO,2015,20
TUV,2015,100
LAO,2010,66
MYS,2010,100
MHL,2010,66
FSM,2010,0
UKR,2015,100
ARE,2015,80
TZA,2015,80
USA,2015,100
MNG,2010,100
NRU,2010,50
NZL,2010,50
PLW,2010,66
URY,2015,20
VUT,2015,0
VEN,2015,100
VNM,2015,100
AFG,2016,40
PHL,2010,33
KOR,2010,83
SGP,2010,100
TON,2010,33
DZA,2016,40
AND,2016,0
ATG,2016,100
ARG,2016,40
VUT,2010,16
VNM,2010,66
DZA,2011,0
BEN,2011,25
AUS,2016,100
AUT,2016,100
BHS,2016,40
BHR,2016,100
BGD,2016,100
BRB,2016,80
BEL,2016,60
BEN,2016,0
BTN,2016,100
BOL,2016,80
BIH,2016,20
BRA,2016,100
BDI,2016,20
CPV,2016,0
KHM,2016,40
CMR,2016,40
CAN,2016,100
CAF,2016,60
TCD,2016,20
CHL,2016,60
CHN,2016,80
COL,2016,60
COG,2016,40
COK,2016,60
CRI,2016,80
HRV,2016,40
CUB,2016,100
CYP,2016,60
CIV,2016,100
PRK,2016,40
COD,2016,100
DNK,2016,0
DMA,2016,40
DOM,2016,40
ECU,2016,20
EGY,2016,100
SLV,2016,100
ERI,2016,80
CMR,2011,100
COG,2011,50
COD,2011,100
ERI,2011,0
ETH,2011,100
EST,2016,40
ETH,2016,100
FRA,2016,60
GAB,2016,20
GMB,2011,0
AGO,2011,25
BDI,2011,0
CAF,2011,50
GEO,2016,60
GHA,2016,40
GRD,2016,60
GTM,2016,80
TCD,2011,0
CIV,2011,0
GNQ,2011,0
GAB,2011,0
GNB,2016,40
HTI,2016,40
HND,2016,60
HUN,2016,40
ISL,2016,60
GHA,2011,0
GIN,2011,25
KEN,2011,75
LSO,2011,0
IND,2016,100
IDN,2016,100
ISR,2016,0
ITA,2016,60
LBR,2011,50
MDG,2011,25
MWI,2011,25
MLI,2011,75
MRT,2011,0
JAM,2016,60
JPN,2016,100
JOR,2016,80
KWT,2016,60
MOZ,2011,100
NGA,2011,25
STP,2011,0
SEN,2011,25
LAO,2016,100
LVA,2016,60
LSO,2016,40
LBY,2016,60
SYC,2011,0
SLE,2011,25
ZAF,2011,25
SWZ,2011,75
LIE,2016,0
LTU,2016,0
LUX,2016,40
MYS,2016,100
MDV,2016,40
TGO,2011,25
UGA,2011,25
TZA,2011,100
ZMB,2011,25
MLT,2016,0
MHL,2016,80
MUS,2016,40
MEX,2016,100
FSM,2016,80
MCO,2016,60
MNE,2016,20
MAR,2016,100
MMR,2016,100
NAM,2016,100
NPL,2016,80
NLD,2016,60
NZL,2016,100
NIC,2016,100
NER,2016,100
NGA,2016,80
MKD,2016,60
NOR,2016,100
OMN,2016,100
PAK,2016,60
PLW,2016,100
PAN,2016,40
PRY,2016,60
PER,2016,100
PHL,2016,100
POL,2016,0
PRT,2016,60
MDA,2016,0
ROU,2016,40
RUS,2016,100
LCA,2016,100
VCT,2016,80
STP,2016,0
SAU,2016,100
SRB,2016,0
SYC,2016,100
SLE,2016,0
SGP,2016,100
SVK,2016,100
SVN,2016,20
ESP,2016,80
LKA,2016,60
SUR,2016,40
SWE,2016,100
CHE,2016,20
THA,2016,100
TLS,2016,40
TTO,2016,20
TUN,2016,20
TUR,2016,100
ARE,2016,80
GBR,2016,40
USA,2016,100
URY,2016,40
VEN,2016,100
VNM,2016,100
ZWE,2016,60
AFG,2017,40
ALB,2017,40
DZA,2017,60
AND,2017,0
AGO,2017,60
ATG,2017,80
ARG,2017,40
ARM,2017,80
AUS,2017,100
AUT,2017,40
BHR,2017,100
BGD,2017,100
BRB,2017,80
BEL,2017,60
BEN,2017,40
BTN,2017,60
BOL,2017,40
BIH,2017,20
BWA,2017,20
BRA,2017,100
BRN,2017,40
BFA,2017,40
BDI,2017,0
CPV,2017,0
KHM,2017,100
CMR,2017,100
CAN,2017,100
CAF,2017,40
TCD,2017,60
CHL,2017,60
CHN,2017,100
COL,2017,60
COM,2017,60
COG,2017,40
COK,2017,20
CRI,2017,80
HRV,2017,40
CUB,2017,100
CYP,2017,80
CZE,2017,100
CIV,2017,100
PRK,2017,60
COD,2017,80
DNK,2017,40
DJI,2017,0
DMA,2017,40
DOM,2017,40
ECU,2017,40
EGY,2017,100
SLV,2017,100
